,treatment,gender,age,nationality,education,field_of_work,political_party,undefined_question_1,undefined_question_2,undefined_question_3,undefined_question_4,zsg_question_1,zsg_question_2,zsg_question_3,zsg_question_4,nzsg_question_1,nzsg_question_2,nzsg_question_3,nzsg_question_4,nbzsg_avg,nredist_avg,bzsg_factor,redist_factor,redist_factor_2,undefined_effort_diff,zsg_effort_diff,nzsg_effort_diff,undefined_effort_diff_d,zsg_effort_diff_d,nzsg_effort_diff_d,undefined_effort_winner,zsg_effort_winner,nzsg_effort_winner,undefined_effort_loser,zsg_effort_loser,nzsg_effort_loser,counter,diff_zs_nzs,avg_redist_amount,zero_redist
52,treatment_5,1.0,63.0,1.0,1.0,11.0,5.0,0.6666666666666666,1.0,0.5,0.4,0.6666666666666666,1.0,0.50375,0.40125,0.3333333333333333,0.0,0.0,0.0,0.7291666666666666,0.8750000000000001,0.7841401141591594,0.8999903198287019,0.6505554161517219,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.50375,0.3345833333333334,0
53,treatment_6,1.0,23.0,1.0,3.0,13.0,4.0,0.16666666666666666,1.0,0.55,0.25,0.16666666666666666,1.0,0.37,0.23,0.16666666666666666,1.0,0.28,0.18,0.3125,0.8333333333333334,0.25122891244143813,0.8693497898428294,0.5482537493542293,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.08999999999999997,0.4000000000000001,0
54,treatment_1,2.0,30.0,1.0,1.0,11.0,1.0,0.3333333333333333,1.0,0.24125,0.7625,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.47916666666666663,0.875,0.4809449242096565,0.88408588799939,0.6599527182877297,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.08041666666666666,0
55,treatment_2,2.0,23.0,1.0,1.0,13.0,6.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.5833333333333334,0.9166666666666667,0.5939310854004257,0.9320987566039811,0.6790039463183067,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
56,treatment_3,1.0,59.0,1.0,4.0,12.0,7.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.5833333333333334,0.319694533985754,0.5491422429524954,0.5819478844473654,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
57,treatment_4,1.0,47.0,1.0,2.0,12.0,7.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.5833333333333334,0.66666674820135,0.659429922195188,0.23000716470966176,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
58,treatment_5,1.0,19.0,1.0,3.0,13.0,6.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.7083333333333333,0.6666666666666666,0.7421069470163437,0.7184181117964459,0.323902973557298,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.0,1
59,treatment_6,1.0,62.0,1.0,4.0,2.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.33333333333333337,0.41666666666666663,0.3420249163632368,0.43410167732879285,0.24644999349027746,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.0,1
60,treatment_1,1.0,72.0,1.0,2.0,14.0,2.0,0.3333333333333333,1.0,0.365,0.26375,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.41666666666666663,0.33397997282844843,0.3301891172206443,0.616745727087189,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.12166666666666666,0
61,treatment_2,2.0,57.0,1.0,1.0,7.0,1.0,0.8333333333333334,1.0,0.395,0.25,0.6666666666666666,1.0,0.2,0.1,0.3333333333333333,0.0,0.0,0.0,0.20833333333333331,0.45833333333333337,0.1872876466090075,0.4662101141040721,0.27489852365686224,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.2,0.19833333333333333,0
62,treatment_3,2.0,25.0,1.0,1.0,13.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.5416666666666667,0.9583333333333334,0.5549853027518874,0.977497283233922,0.716554548606117,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
63,treatment_4,1.0,19.0,1.0,3.0,13.0,7.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.0,0.25,0.0625,0.375,0.75,0.37775167679339194,0.74119371737086,0.6581527965696734,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,-0.25,0.08333333333333333,0
64,treatment_5,2.0,24.0,1.0,1.0,8.0,4.0,0.8333333333333334,1.0,0.75,0.9,0.3333333333333333,1.0,0.3675,0.24125,0.16666666666666666,1.0,0.4,0.16,0.5208333333333334,0.8333333333333334,0.5779785876130952,0.9437463566628411,0.3074601447766824,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,-0.03250000000000003,0.5058333333333334,0
65,treatment_6,1.0,26.0,1.0,1.0,12.0,4.0,0.5,1.0,0.6,1.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.20833333333333331,0.7916666666666667,0.21275106690980616,0.8039645826195196,0.612452960090568,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.19999999999999998,0
